,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
12,"{'lon': 19.23, 'lat': -34.42}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 288.71, 'feels_like': 289.21, 'temp_min': 288.71, 'temp_max': 288.71, 'pressure': 1019, 'humidity': 88}",10000,"{'speed': 0.89, 'deg': 81, 'gust': 1.79}",{'all': 41},1607812218,"{'type': 3, 'id': 2006131, 'country': 'ZA', 'sunrise': 1607829881, 'sunset': 1607881819}",7200,3366880,Hermanus,200,,
13,"{'lon': 173.17, 'lat': -35.17}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 290.71, 'feels_like': 287.12, 'temp_min': 290.71, 'temp_max': 290.71, 'pressure': 1022, 'humidity': 64, 'sea_level': 1022, 'grnd_level': 1020}",10000,"{'speed': 5.46, 'deg': 189}",{'all': 69},1607812219,"{'country': 'NZ', 'sunrise': 1607792806, 'sunset': 1607844979}",46800,2194098,Ahipara,200,,
14,"{'lon': 25.97, 'lat': 70.98}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 275.05, 'feels_like': 271.12, 'temp_min': 275.05, 'temp_max': 275.05, 'pressure': 1013, 'humidity': 88, 'sea_level': 1013, 'grnd_level': 1013}",10000,"{'speed': 2.8, 'deg': 315}",{'all': 100},1607812219,"{'country': 'NO', 'sunrise': 0, 'sunset': 0}",3600,779554,Honningsvåg,200,{'1h': 0.115},
15,"{'lon': 172.79, 'lat': 3.07}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 300.06, 'feels_like': 301.07, 'temp_min': 300.06, 'temp_max': 300.06, 'pressure': 1008, 'humidity': 78, 'sea_level': 1008, 'grnd_level': 1007}",10000,"{'speed': 5.84, 'deg': 97}",{'all': 94},1607812219,"{'country': 'KI', 'sunrise': 1607797482, 'sunset': 1607840486}",43200,2110227,Butaritari,200,,
16,"{'lon': -52.33, 'lat': 4.93}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 298.15, 'feels_like': 303.52, 'temp_min': 298.15, 'temp_max': 298.15, 'pressure': 1012, 'humidity': 100}",10000,"{'speed': 1.5, 'deg': 0}",{'all': 99},1607812219,"{'type': 1, 'id': 8669, 'country': 'GF', 'sunrise': 1607765291, 'sunset': 1607807913}",-10800,3382160,Cayenne,200,{'1h': 0.18},
17,"{'lon': 25.57, 'lat': -33.92}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 291.15, 'feels_like': 292.42, 'temp_min': 291.15, 'temp_max': 291.15, 'pressure': 1020, 'humidity': 93}",10000,"{'speed': 1.5, 'deg': 190}",{'all': 90},1607812220,"{'type': 1, 'id': 1973, 'country': 'ZA', 'sunrise': 1607828439, 'sunset': 1607880216}",7200,964420,Port Elizabeth,200,,
18,"{'lon': 10.85, 'lat': 30.33}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 287.83, 'feels_like': 282.68, 'temp_min': 287.83, 'temp_max': 287.83, 'pressure': 1010, 'humidity': 61, 'sea_level': 1010, 'grnd_level': 950}",10000,"{'speed': 6.43, 'deg': 247}",{'all': 14},1607812220,"{'country': 'LY', 'sunrise': 1607839484, 'sunset': 1607876240}",7200,2214432,Nālūt,200,,
19,"{'lon': -3.98, 'lat': 22.68}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 293, 'feels_like': 288.43, 'temp_min': 293, 'temp_max': 293, 'pressure': 1017, 'humidity': 26, 'sea_level': 1017, 'grnd_level': 1000}",10000,"{'speed': 3.65, 'deg': 54}",{'all': 0},1607812220,"{'country': 'ML', 'sunrise': 1607755622, 'sunset': 1607794367}",0,2450173,Taoudenni,200,,
20,"{'lon': -139.03, 'lat': -9.8}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 299.04, 'feels_like': 297.46, 'temp_min': 299.04, 'temp_max': 299.04, 'pressure': 1012, 'humidity': 72, 'sea_level': 1012, 'grnd_level': 1009}",10000,"{'speed': 7.85, 'deg': 95}",{'all': 2},1607812106,"{'country': 'PF', 'sunrise': 1607784580, 'sunset': 1607830253}",-34200,4020109,Atuona,200,,
21,"{'lon': -103.68, 'lat': 18.73}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 301.22, 'feels_like': 303.95, 'temp_min': 301.22, 'temp_max': 301.22, 'pressure': 1010, 'humidity': 63, 'sea_level': 1010, 'grnd_level': 1008}",10000,"{'speed': 1.62, 'deg': 200}",{'all': 59},1607812221,"{'country': 'MX', 'sunrise': 1607779098, 'sunset': 1607818763}",-21600,4013679,Coahuayana Viejo,200,,
22,"{'lon': -68.51, 'lat': 63.75}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 246.15, 'feels_like': 239.77, 'temp_min': 246.15, 'temp_max': 246.15, 'pressure': 1020, 'humidity': 62}",10000,"{'speed': 3.6, 'deg': 320}",{'all': 20},1607812221,"{'type': 1, 'id': 797, 'country': 'CA', 'sunrise': 1607782357, 'sunset': 1607798617}",-18000,5983720,Iqaluit,200,,
23,"{'lon': 26.89, 'lat': -33.59}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 290.93, 'feels_like': 293.05, 'temp_min': 290.93, 'temp_max': 290.93, 'pressure': 1019, 'humidity': 96}",10000,"{'speed': 0.45, 'deg': 320, 'gust': 1.79}",{'all': 99},1607812221,"{'type': 3, 'id': 2011314, 'country': 'ZA', 'sunrise': 1607828175, 'sunset': 1607879847}",7200,964432,Port Alfred,200,{'1h': 0.88},
24,"{'lon': 104.72, 'lat': 31.77}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 280.66, 'feels_like': 278.03, 'temp_min': 280.66, 'temp_max': 280.66, 'pressure': 1018, 'humidity': 66, 'sea_level': 1018, 'grnd_level': 955}",10000,"{'speed': 1.27, 'deg': 349}",{'all': 52},1607812221,"{'country': 'CN', 'sunrise': 1607817149, 'sunset': 1607853503}",28800,1885823,Jiangyou,200,,
25,"{'lon': -56.05, 'lat': -34.86}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 300.06, 'feels_like': 300.31, 'temp_min': 298.15, 'temp_max': 302.15, 'pressure': 1004, 'humidity': 61}",10000,"{'speed': 4.1, 'deg': 140}",{'all': 0},1607812221,"{'type': 1, 'id': 8713, 'country': 'UY', 'sunrise': 1607761466, 'sunset': 1607813525}",-10800,3441292,Paso de Carrasco,200,,
26,"{'lon': -113.58, 'lat': 37.1}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 280.1, 'feels_like': 273.59, 'temp_min': 279.26, 'temp_max': 281.15, 'pressure': 1016, 'humidity': 45}",10000,"{'speed': 5.7, 'deg': 60}",{'all': 1},1607812222,"{'type': 1, 'id': 5832, 'country': 'US', 'sunrise': 1607783945, 'sunset': 1607818669}",-25200,5546220,Saint George,200,,
27,"{'lon': 168.86, 'lat': -46.19}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 285.37, 'feels_like': 280.13, 'temp_min': 285.37, 'temp_max': 285.37, 'pressure': 1025, 'humidity': 67}",10000,"{'speed': 6.26, 'deg': 225, 'gust': 10.73}",{'all': 100},1607812106,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1607791624, 'sunset': 1607848230}",46800,6201424,Mataura,200,,
28,"{'lon': 48.53, 'lat': 5.35}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 297.71, 'feels_like': 295.9, 'temp_min': 297.71, 'temp_max': 297.71, 'pressure': 1013, 'humidity': 70, 'sea_level': 1013, 'grnd_level': 1012}",10000,"{'speed': 7.03, 'deg': 36}",{'all': 11},1607812222,"{'country': 'SO', 'sunrise': 1607827549, 'sunset': 1607870082}",10800,57000,Hobyo,200,,
